CC1=CC(C)=NO1,Additive_1
O=C(OC)C1=CC=NO1,Additive_2
CCOC(C1=CON=C1)=O,Additive_3
CCOC(C1=NOC=C1)=O,Additive_4
CC1=C(C(OCC)=O)C=NO1,Additive_5
CC1=NOC=C1,Additive_6
C1(C2=CC=CC=C2)=CON=C1,Additive_7
FC(C=CC=C1F)=C1C2=CC=NO2,Additive_8
C1(C2=CC=CC=C2)=NOC=C1,Additive_9
O=C(OC)C1=NOC(C2=CC=CS2)=C1,Additive_10
CC1=NOC(C2=CC=CC=C2)=C1,Additive_11
C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=NOC=C1,Additive_12
O=C(OC)C1=NOC(C2=CC=CO2)=C1,Additive_13
COC1=NOC(C(OCC)=O)=C1,Additive_14
C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=NO1,Additive_15
CC1=CC=NO1,Additive_16
CC1=NOC(C(OCC)=O)=C1,Additive_17
CC1=CC(C(OCC)=O)=NO1,Additive_18
C12=CON=C1C=CC=C2,Additive_19
CC1=CC(N2C=CC=C2)=NO1,Additive_20
C1(C2=CC=CC=C2)=CC=NO1,Additive_21
C12=C(C=CC=C2)ON=C1,Additive_22
